t_N1000,I_N1000,t_N2500,I_N2500,t_N5000,I_N5000,t_N7500,I_N7500,t_N10000,I_N10000,t_N12500,I_N12500,t_N15000,I_N15000,t_N20000,I_N20000
0.46,0.00028189430364070046,0.184,0.00021550714342117127,0.092,0.0001970544591312299,0.06133333333333333,0.00019126158383269307,0.046,0.00018842931923710352,0.0368,0.000186750130925196,0.030666666666666665,0.00018563899318072054,0.023,0.00018425936270467932
0.48,0.0002874334156256449,0.192,0.0002171911519642863,0.096,0.00019782287383964214,0.064,0.00019175847912563082,0.048,0.0001887963533125277,0.038400000000000004,0.00018704108504980312,0.032,0.0001858799811541331,0.024,0.00018443873144378638
0.5,0.00029308135845364355,0.2,0.0002188883186789956,0.1,0.0001985942847881738,0.06666666666666667,0.00019225666526467603,0.05,0.00018916410227460276,0.04,0.00018733249244890117,0.03333333333333333,0.00018612128194779988,0.025,0.0001846182747801805
0.52,0.00029884026998341413,0.20800000000000002,0.00022059874636309716,0.10400000000000001,0.00019936870365837685,0.06933333333333333,0.00019275614560279114,0.052000000000000005,0.00018953256751556776,0.041600000000000005,0.00018762435382855465,0.034666666666666665,0.00018636289596773582,0.026000000000000002,0.0001847979928837946
0.54,0.00030471233005291307,0.216,0.0002223225386172608,0.108,0.00020014614217733385,0.072,0.00019325692350164825,0.054,0.00018990175043037214,0.0432,0.00018791666989592668,0.036,0.00018660482362048138,0.027,0.00018497788592472487
0.56,0.0003106997613029889,0.224,0.00022405979985129368,0.112,0.00020092661211783624,0.07466666666666666,0.00019375900233164738,0.056,0.00019027165241668163,0.0448,0.0001882094413592837,0.03733333333333333,0.0001868470653131053,0.028,0.00018515795407323513
0.58,0.00031680483001716417,0.232,0.00022581063529045523,0.116,0.00020171012529856223,0.07733333333333334,0.00019426238547194248,0.058,0.00019064227487488268,0.046400000000000004,0.00018850266892799265,0.03866666666666667,0.00018708962145320306,0.029,0.00018533819749975373
0.6,0.0003230298469778743,0.24,0.00022757515098182477,0.12,0.00020249669358425514,0.08,0.00019476707631046035,0.06,0.00019101361920808777,0.048,0.0001887963533125277,0.04,0.00018733249244890117,0.03,0.00018551861637487466
0.62,0.0003293771683394695,0.248,0.0002293534538007132,0.124,0.0002032863288859044,0.08266666666666667,0.00019527307824392787,0.062,0.0001913856868221434,0.049600000000000005,0.00018909049522446695,0.04133333333333333,0.00018757567870885387,0.031,0.00018569921086935905
0.64,0.0003358491965183201,0.256,0.00023114565145712865,0.128,0.00020407904316092343,0.08533333333333333,0.00019578039467789128,0.064,0.00019175847912563082,0.0512,0.00018938509537649913,0.042666666666666665,0.0001878191806422476,0.032,0.0001858799811541331
0.66,0.00034244838110034955,0.264,0.00023295185250229428,0.132,0.0002048748484133315,0.088,0.00019628902902674072,0.066,0.00019213199752987555,0.0528,0.00018968015448242063,0.044,0.00018806299865879717,0.033,0.0001860609274002894
0.68,0.0003491772197663437,0.272,0.00023477216633520912,0.136,0.00020567375669393708,0.09066666666666666,0.00019679898471373282,0.068,0.00019250624344894948,0.054400000000000004,0.0001899756732571407,0.04533333333333333,0.00018830713316875152,0.034,0.00018624204977908795
0.7000000000000001,0.00035603825923537094,0.28,0.00023660670320926815,0.14,0.00020647578010051567,0.09333333333333332,0.0001973102651710135,0.07,0.00019288121829967882,0.056,0.00019027165241668163,0.04666666666666666,0.00018855158458289052,0.035,0.00018642334846195413
0.72,0.00036303409622668264,0.28800000000000003,0.00023845557423893152,0.14400000000000002,0.00020728093077799773,0.096,0.00019782287383964214,0.07200000000000001,0.00019325692350164825,0.057600000000000005,0.00019056809267818079,0.048,0.0001887963533125277,0.036000000000000004,0.00018660482362048138
0.74,0.0003701673784404399,0.296,0.00024031889140644215,0.148,0.00020808922091864992,0.09866666666666667,0.00019833681416961304,0.074,0.00019363336047720543,0.0592,0.0001908649947598923,0.04933333333333333,0.00018904143976950912,0.037,0.0001867864754264292
0.76,0.00037744080555764337,0.304,0.00024219676756860196,0.152,0.00020890066276225887,0.10133333333333333,0.00019885208961987948,0.076,0.00019401053065146826,0.0608,0.00019116235938118885,0.050666666666666665,0.0001892868443662171,0.038,0.00018696830405172442
0.78,0.00038485713025962926,0.312,0.00024408931646359598,0.156,0.00020971526859631752,0.104,0.00019936870365837685,0.078,0.0001943884354523294,0.062400000000000004,0.00019146018726256335,0.052,0.00018953256751556776,0.039,0.00018715030966846098
0.8,0.00039241915926753663,0.32,0.0002459966527178702,0.16,0.00021053305075621073,0.10666666666666666,0.00019988665976204724,0.08,0.00019476707631046035,0.064,0.00019175847912563082,0.05333333333333333,0.00018977860963101338,0.04,0.00018733249244890117
0.8200000000000001,0.00040012975440209997,0.328,0.0002479188918530674,0.164,0.00021135402162540115,0.10933333333333332,0.00020040596141685925,0.082,0.0001951464546593198,0.0656,0.00019205723569313033,0.05466666666666666,0.00019002497112654236,0.041,0.00018751485256547352
0.84,0.0004079918336641987,0.336,0.00024985615029300955,0.168,0.00021217819363561832,0.112,0.00020092661211783624,0.084,0.0001955265719351554,0.06720000000000001,0.00019235645768892503,0.056,0.00019027165241668163,0.042,0.00018769739019077624
0.86,0.0004160083723365407,0.34400000000000003,0.0002518085453707429,0.17200000000000001,0.00021300557926704421,0.11466666666666667,0.00020144861536907583,0.08600000000000001,0.0001959074295770136,0.0688,0.00019265614583800794,0.05733333333333333,0.00019051865391649404,0.043000000000000003,0.00018788010549757283
0.88,0.0004241824041069091,0.352,0.00025377619533563183,0.176,0.00021383619104850323,0.11733333333333333,0.00020197197468377548,0.088,0.00019628902902674072,0.0704,0.00019295630086649845,0.058666666666666666,0.0001907659760415823,0.044,0.00018806299865879717
0.9,0.00043251702221338726,0.36,0.0002557592193605092,0.18,0.00021467004155765283,0.12,0.00020249669358425514,0.09,0.00019667137172899038,0.07200000000000001,0.00019325692350164825,0.06,0.00019101361920808777,0.045,0.0001882460698475509
